Draw_Date,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2001-12-15,1922,9272,2751,2411,8442,1243,6777,2028,1320,0935,3381,2555,3591,7344,7884,9004,7596,2686,3583,5348,5222,9006,3086
2001-12-16,2553,8581,8212,7404,4488,2199,6011,5539,7924,9046,5272,5679,4029,5649,8668,9801,3092,5136,4826,9399,6304,1305,9571
2001-12-19,8173,1485,1820,9025,5058,1044,2944,1695,0166,4082,7672,1937,5027,1405,7491,6672,3455,6162,2301,6320,9839,5969,8852
2001-12-22,9068,7420,6176,1923,4636,9297,2170,7075,7238,7846,0066,8717,1443,1368,9805,1756,8857,6874,5507,7068,7988,7663,6532
2001-12-23,1780,7839,3751,2310,0011,7112,5684,4745,3034,5334,4142,7454,1269,3101,1521,3164,9627,7471,4127,9845,5444,7670,6060
2001-12-26,2750,2293,9827,0992,7653,2683,8399,9383,8866,2619,0077,6067,4656,6930,7859,0596,5949,0984,8657,5891,1805,8986,6149
2001-12-29,6743,5017,4645,0477,4041,8878,5660,6591,5377,7276,9013,4975,7369,6479,8452,1319,4532,9592,9828,4839,5898,5323,8223
2001-12-30,0080,5885,8127,6844,0881,0205,7673,3076,1652,7509,6435,9461,3694,1321,5060,4808,3929,2857,3637,2947,0795,7358,6306
2002-01-02,3254,1351,9309,9483,7084,4700,5524,2413,6641,9937,2201,5112,3246,0182,7963,6721,8139,7123,6420,9916,1944,4428,9770
2002-01-05,3228,0470,5471,6564,1666,5321,3298,2481,0624,7009,7090,4540,9872,0952,7261,1826,7663,0109,2012,9503,2724,8543,3944
2002-01-06,5668,2299,9590,8220,1899,4883,0866,3108,0487,9183,0818,9556,6043,5762,8611,7128,9561,7587,2749,0550,2333,6109,5146
2002-01-09,6225,5840,8081,0881,6034,6412,8003,0499,3160,9730,7291,1810,9741,2471,5326,4346,8601,9141,5956,8150,9335,7270,7196
2002-01-12,2488,4262,4265,8798,8435,3042,8995,9611,8564,3726,8701,7771,6620,4427,0160,5094,3183,6674,0312,6160,8028,0323,0511
2002-01-13,1011,1953,7876,4707,3391,9788,9327,6673,8707,9687,2243,9677,6716,4864,1875,7195,2849,2802,7985,2514,9987,6161,6869
2002-01-16,9710,0611,8265,4481,7321,9152,5180,1544,8353,8482,5217,1967,5000,6330,3671,8059,1718,7207,1693,0384,3590,5421,0879
2002-01-19,1076,6178,8733,2570,3683,2375,5739,3776,7083,8596,0345,8536,3421,4786,3353,7167,1772,8470,2913,2818,2791,6582,3991
2002-01-20,1698,9961,7563,9684,1975,5765,8702,4756,4806,0822,8018,7230,5957,8000,1581,6110,4141,7455,1669,7459,0533,7529,1561
